id,max_quality,cost,capital,pur,price,period,lag_price,lag_qv,lag_pur,lag_capital,diff_price,diff_qv,diff_pur,diff_capital
42,6.0,60.5,894.29,0,61.5,2,81.66,19.0,0.0,925.25,-20.159999999999997,-13.0,0.0,-30.960000000000036
43,22.0,45.42,692.92,0,46.42,2,85.39,28.0,0.0,703.47,-38.97,-6.0,0.0,-10.550000000000068
44,26.0,72.93,993.49,0,73.93,2,12.02,12.0,0.0,1101.47,61.91000000000001,14.0,0.0,-107.98000000000002
45,21.0,28.4,634.03,0,29.4,2,33.87,3.0,0.0,1331.56,-4.469999999999999,18.0,0.0,-697.53
46,14.0,72.19,1108.11,0,73.19,2,68.43,6.0,0.0,1124.09,4.759999999999991,8.0,0.0,-15.980000000000018
47,26.0,83.59,747.75,0,84.59,2,25.67,2.0,0.0,723.98,58.92,24.0,0.0,23.769999999999982
48,1.0,53.01,1241.35,0,54.01,2,68.54,2.0,0.0,972.54,-14.530000000000008,-1.0,0.0,268.80999999999995
49,8.0,85.07,992.54,0,86.07,2,92.43,24.0,0.0,798.98,-6.360000000000014,-16.0,0.0,193.55999999999995
0,20.0,12.95,1543.37,0,13.95,3,42.21,15.0,0.0,761.48,-28.26,5.0,0.0,781.8899999999999
1,21.0,8.06,1790.67,370,9.06,3,15.62,11.0,0.0,742.61,-6.559999999999999,10.0,370.0,1048.06
2,4.0,74.53,615.64,0,75.53,3,60.19,21.0,0.0,688.9,15.340000000000003,-17.0,0.0,-73.25999999999999
3,20.0,106.37,793.43,0,107.37,3,105.92,12.0,0.0,130.28,1.4500000000000028,8.0,0.0,663.15
4,20.0,0.05,2238.62,133,1.05,3,99.81,22.0,0.0,710.64,-98.76,-2.0,133.0,1527.98
5,8.0,84.82,160.37,0,85.82,3,40.59,25.0,0.0,968.39,45.22999999999999,-17.0,0.0,-808.02
6,17.0,97.17,243.61,0,98.17,3,39.22,14.0,0.0,684.17,58.95,3.0,0.0,-440.55999999999995
7,13.0,54.71,807.96,0,55.71,3,90.45,35.0,13.0,888.39,-34.74,-22.0,-13.0,-80.42999999999995
8,19.0,83.23,916.45,0,84.23,3,69.43,15.0,0.0,850.76,14.799999999999997,4.0,0.0,65.69000000000005
9,5.0,38.44,838.4,0,39.44,3,36.05,23.0,0.0,984.99,3.3900000000000006,-18.0,0.0,-146.59000000000003
10,18.0,77.36,667.33,0,78.36,3,69.4,20.0,0.0,1216.27,8.959999999999994,-2.0,0.0,-548.9399999999999
11,24.0,35.63,1651.95,0,36.63,3,91.91,30.0,0.0,1136.2,-55.279999999999994,-6.0,0.0,515.75
12,15.0,87.09,517.56,0,88.09,3,82.52,25.0,0.0,837.89,5.570000000000007,-10.0,0.0,-320.33000000000004
13,4.0,78.51,755.73,0,79.51,3,31.39,3.0,0.0,783.32,48.120000000000005,1.0,0.0,-27.590000000000032
14,6.0,24.31,443.09,0,25.31,3,61.5,6.0,0.0,894.29,-36.19,0.0,0.0,-451.2
15,1.0,68.94,871.27,0,69.94,3,46.42,22.0,0.0,692.92,23.519999999999996,-21.0,0.0,178.35000000000002
